date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:27:35	121/121	---M--	200	added ('OK')	text/plain	date:Fri,%2011%20Nov%202022%2011:57:37%20GMT	https://aero.engin.umich.edu/robots.txt		(from )
17:27:36	100631/100631	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2011:57:37%20GMT	https://aero.engin.umich.edu/	C:/My%20Web%20Sites/vin28/aero.engin.umich.edu/index.html	(from )
17:27:37	134053/134053	---M--	200	added ('OK')	image/jpeg	etag:%22623b8040-20ba5%22	https://aero.engin.umich.edu/wp-content/uploads/sites/2/2021/06/home-undergrad-cta.jpg	C:/My%20Web%20Sites/vin28/aero.engin.umich.edu/wp-content/uploads/sites/2/2021/06/home-undergrad-cta.jpg	(from https://aero.engin.umich.edu/)
17:27:37	74947/74947	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%226fd3f3bdab924e3ba4f7a1415e6c4951-gzip%22	https://aero.engin.umich.edu/feed/	C:/My%20Web%20Sites/vin28/aero.engin.umich.edu/feed/index.html	(from https://aero.engin.umich.edu/)
17:27:38	2656/2656	---MCZ	200	added ('OK')	text/css	etag:W/%226356f4f1-a60%22	https://aero.engin.umich.edu/wp-content/plugins/wp-google-search/wgs2.css?ver=6.1	C:/My%20Web%20Sites/vin28/aero.engin.umich.edu/wp-content/plugins/wp-google-search/wgs29b2d.css	(from https://aero.engin.umich.edu/)
17:27:38	227/227	---M--	200	added ('OK')	text/css	etag:%226356f4f1-e3%22	https://aero.engin.umich.edu/wp-content/plugins/wp-google-search/wgs3.css?ver=6.1	C:/My%20Web%20Sites/vin28/aero.engin.umich.edu/wp-content/plugins/wp-google-search/wgs39b2d.css	(from https://aero.engin.umich.edu/)
17:27:39	281394/281394	---MCZ	200	added ('OK')	text/css	etag:W/%2262bb1b63-44b32%22	https://aero.engin.umich.edu/wp-content/themes/umcoecm-forty-two/assets/dist/main.css?ver=0.0.1	C:/My%20Web%20Sites/vin28/aero.engin.umich.edu/wp-content/themes/umcoecm-forty-two/assets/dist/main622c.css	(from https://aero.engin.umich.edu/)
17:27:39	2610/2610	---MCZ	200	added ('OK')	text/css	etag:W/%22623b8067-a32%22	https://aero.engin.umich.edu/wp-content/plugins/event-list-block/build/style-index.css?ver=1648066663	C:/My%20Web%20Sites/vin28/aero.engin.umich.edu/wp-content/plugins/event-list-block/build/style-index779f.css	(from https://aero.engin.umich.edu/)
17:27:40	2112/2112	---MCZ	200	added ('OK')	text/css	etag:W/%22623b805e-840%22	https://aero.engin.umich.edu/wp-content/plugins/um-coe-cm-experts/build/style-index.css?ver=1648066654	C:/My%20Web%20Sites/vin28/aero.engin.umich.edu/wp-content/plugins/um-coe-cm-experts/build/style-indexf6d4.css	(from https://aero.engin.umich.edu/)
17:27:40	2812/2812	---MCZ	200	added ('OK')	text/css	etag:W/%22623b805e-afc%22	https://aero.engin.umich.edu/wp-content/plugins/um-coe-cm-inthenews-single/build/style-index.css?ver=1648066654	C:/My%20Web%20Sites/vin28/aero.engin.umich.edu/wp-content/plugins/um-coe-cm-inthenews-single/build/style-indexf6d4.css	(from https://aero.engin.umich.edu/)
